08-21-2026 14:09:46 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@53.937C CPU@56.75C SOC2@55.093C SOC0@55.906C CV1@54.031C GPU@54.562C tj@57.468C SOC1@57.468C CV2@54.25C
08-21-2026 14:09:47 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@54C CPU@56.875C SOC2@55.062C SOC0@55.906C CV1@54.062C GPU@54.687C tj@57.5C SOC1@57.5C CV2@54.25C
08-21-2026 14:09:47 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@54C CPU@56.781C SOC2@55.062C SOC0@55.906C CV1@54.093C GPU@54.437C tj@57.5C SOC1@57.5C CV2@54.343C
08-21-2026 14:09:47 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [9%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@53.937C CPU@56.843C SOC2@54.968C SOC0@55.906C CV1@54.031C GPU@54.531C tj@57.5C SOC1@57.5C CV2@54.25C
08-21-2026 14:09:47 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@54.062C CPU@56.812C SOC2@55.031C SOC0@55.937C CV1@54.062C GPU@54.656C tj@57.625C SOC1@57.625C CV2@54.187C
08-21-2026 14:09:47 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@54.093C CPU@56.781C SOC2@55.062C SOC0@55.968C CV1@54.062C GPU@54.437C tj@57.468C SOC1@57.468C CV2@54.312C
08-21-2026 14:09:47 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@54.125C CPU@56.906C SOC2@54.968C SOC0@55.968C CV1@54.093C GPU@54.531C tj@57.687C SOC1@57.687C CV2@54.375C
08-21-2026 14:09:47 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@54.187C CPU@56.781C SOC2@55.093C SOC0@55.906C CV1@54.187C GPU@54.687C tj@57.562C SOC1@57.562C CV2@54.281C
08-21-2026 14:09:47 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@53.968C CPU@56.937C SOC2@55.062C SOC0@55.968C CV1@54.093C GPU@54.406C tj@57.593C SOC1@57.593C CV2@54.25C
08-21-2026 14:09:47 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@729,0%@729,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@54.031C CPU@56.656C SOC2@55.093C SOC0@56C CV1@54.187C GPU@54.531C tj@57.531C SOC1@57.531C CV2@54.312C
