# time GPU CPU0 CPU1 CPU2 CPU3 CPU4 CPU5 CPU6 CPU7 RAM RAM_TOTAL CPU_TEMP GPU_TEMP
91 0 0 0 0 9 0 0 0 0 1018 15389 56.78 54.53
92 0 0 0 0 0 0 0 0 0 1018 15389 56.78 54.75
93 0 9 0 0 0 0 0 0 0 1018 15389 56.81 54.34
94 0 0 0 0 0 0 0 0 0 1018 15389 56.84 54.56
95 0 0 0 0 0 0 0 0 0 1018 15389 56.91 54.41
96 0 0 0 0 0 0 0 0 10 1018 15389 57.06 54.56
97 0 9 0 0 0 0 0 0 0 1018 15389 56.75 54.44
98 0 0 0 0 8 0 0 0 0 1018 15389 56.78 54.50
99 0 9 0 0 0 0 0 0 0 1018 15389 56.75 54.59
100 0 0 0 0 9 0 0 0 0 1018 15389 57.09 54.34
101 0 9 0 0 0 0 0 0 0 1018 15389 56.78 54.47
102 0 0 0 0 0 0 0 0 0 1018 15389 56.91 54.44
103 0 0 0 0 0 0 0 0 0 1018 15389 56.94 54.41
104 0 0 0 0 0 0 0 0 0 1018 15389 56.97 54.47
105 0 0 0 0 0 0 0 0 0 1018 15389 57.03 54.66
106 0 0 0 0 9 0 0 0 0 1018 15389 56.62 54.44
107 0 16 0 0 0 0 0 0 0 1018 15389 56.72 54.47
108 0 0 0 9 0 0 0 0 0 1018 15389 56.88 54.44
109 0 0 0 0 0 0 0 0 0 1018 15389 56.84 54.50
110 0 0 0 0 0 0 0 0 0 1018 15389 56.84 54.81
111 0 0 15 0 0 0 0 0 0 1018 15389 56.94 54.62
112 0 0 0 0 0 30 0 0 0 1021 15389 56.94 54.47
113 0 0 0 0 0 0 0 0 0 1022 15389 57.00 54.47
114 0 0 0 0 0 0 0 0 0 1022 15389 56.75 54.59
115 0 9 0 0 0 0 0 0 0 1022 15389 56.75 54.44
116 0 9 0 0 0 0 0 0 0 1022 15389 56.91 54.53
117 0 0 0 0 0 0 0 0 0 1022 15389 57.06 54.66
118 0 0 0 0 0 0 0 0 0 1022 15389 56.62 54.41
119 0 0 0 0 0 0 0 0 0 1022 15389 56.69 54.44
120 0 18 0 0 0 0 0 0 0 1022 15389 56.88 54.47
121 0 0 0 0 0 9 10 0 0 1022 15389 56.78 54.50
122 0 0 0 0 0 10 0 0 0 1022 15389 56.91 54.38
123 0 0 0 9 0 0 0 0 0 1022 15389 56.84 54.50
124 0 0 0 0 0 0 0 0 0 1022 15389 56.88 54.53
125 0 0 0 0 9 0 0 0 0 1022 15389 56.94 54.38
126 0 8 0 0 0 0 0 0 0 1022 15389 56.69 54.59
127 0 0 0 0 0 0 0 0 0 1022 15389 56.75 54.38
128 0 0 0 0 0 0 0 0 0 1022 15389 56.72 54.44
129 0 9 0 0 0 0 0 0 0 1022 15389 56.78 54.75
130 0 0 0 0 0 0 0 0 0 1022 15389 56.84 54.47
131 0 0 0 0 0 0 0 0 0 1022 15389 56.78 54.53
132 0 0 0 0 0 0 0 0 0 1022 15389 56.81 54.59
133 0 9 0 0 0 0 0 0 0 1022 15389 56.78 54.34
134 0 0 0 0 0 0 0 0 0 1022 15389 56.78 54.50
135 0 0 0 0 0 0 0 0 0 1022 15389 56.78 54.66
136 0 0 0 0 0 0 0 0 0 1022 15389 56.78 54.41
137 0 0 0 0 9 0 0 0 0 1022 15389 56.91 54.56
138 0 0 0 0 0 0 0 0 0 1022 15389 57.03 54.53
139 0 9 0 0 0 0 0 0 0 1022 15389 56.75 54.56
140 0 0 9 0 9 0 0 0 0 1022 15389 56.75 54.50
141 0 0 0 0 0 0 0 0 0 1022 15389 56.81 54.41
142 0 10 0 0 0 0 0 0 0 1022 15389 56.94 54.59
143 0 0 0 0 0 0 0 0 0 1022 15389 56.78 54.34
144 0 0 0 0 0 0 0 0 0 1022 15389 56.75 54.44
145 0 9 0 0 0 0 0 0 0 1022 15389 56.78 54.59
146 0 0 0 0 0 0 0 0 0 1022 15389 56.81 54.38
147 0 0 0 0 0 0 0 0 0 1022 15389 56.88 54.44
148 0 0 0 0 9 0 0 0 0 1022 15389 56.81 54.66
149 0 0 0 0 0 0 0 0 9 1022 15389 56.75 54.44
150 0 0 0 0 0 0 0 0 0 1022 15389 56.78 54.47
151 0 9 0 0 9 0 0 0 0 1022 15389 56.81 54.66
152 0 0 0 0 0 0 0 0 0 1022 15389 56.84 54.41
153 0 0 0 0 0 0 0 0 0 1022 15389 56.91 54.47
154 0 9 0 0 0 0 0 0 0 1022 15389 57.03 54.62
155 0 0 0 0 0 0 0 0 0 1022 15389 56.69 54.38
156 0 0 0 0 0 9 0 0 0 1019 15389 56.69 54.47
157 0 0 0 0 0 0 0 0 0 1019 15389 56.88 54.59
158 0 0 0 0 0 0 0 0 0 1019 15389 56.88 54.34
159 0 0 0 0 0 0 0 0 0 1019 15389 56.59 54.47
160 0 9 0 0 0 0 0 9 0 1019 15389 56.69 54.69
161 0 0 0 0 0 0 0 0 0 1019 15389 56.72 54.41
162 0 9 0 0 0 0 0 0 0 1019 15389 56.75 54.50
